in s,C1 in V
-5.9796173E-01,-1.87988E+00
-5.9795251E-01,-1.86035E+00
-5.9794330E-01,-1.86035E+00
-5.9793408E-01,-1.87988E+00
-5.9792486E-01,-1.87988E+00
-5.9791565E-01,-1.88965E+00
-5.9790643E-01,-1.88965E+00
-5.9789722E-01,-1.86035E+00
-5.9788800E-01,-1.86035E+00
-5.9787878E-01,-1.89941E+00
-5.9786957E-01,-1.84082E+00
-5.9786035E-01,-1.87988E+00
-5.9785114E-01,-1.86035E+00
-5.9784192E-01,-1.88965E+00
-5.9783270E-01,-1.88965E+00
-5.9782349E-01,-1.87988E+00
-5.9781427E-01,-1.87988E+00
-5.9780506E-01,-1.89941E+00
-5.9779584E-01,-1.89941E+00
-5.9778662E-01,-1.87988E+00
-5.9777741E-01,-1.89941E+00
-5.9776819E-01,-1.85059E+00
-5.9775898E-01,-1.86035E+00
-5.9774976E-01,-1.89941E+00
-5.9774054E-01,-1.89941E+00
-5.9773133E-01,-1.87012E+00
-5.9772211E-01,-1.87988E+00
-5.9771290E-01,-1.88965E+00
-5.9770368E-01,-1.87012E+00
-5.9769446E-01,-1.86035E+00
-5.9768525E-01,-1.87988E+00
-5.9767603E-01,-1.86035E+00
-5.9766682E-01,-1.86035E+00
-5.9765760E-01,-1.87012E+00
-5.9764838E-01,-1.84082E+00
-5.9763917E-01,-1.86035E+00
-5.9762995E-01,-1.88965E+00
-5.9762074E-01,-1.87988E+00
-5.9761152E-01,-1.87988E+00
-5.9760230E-01,-1.88965E+00
-5.9759309E-01,-1.88965E+00
-5.9758387E-01,-1.88965E+00
-5.9757466E-01,-1.86035E+00
-5.9756544E-01,-1.90918E+00
-5.9755622E-01,-1.85059E+00
-5.9754701E-01,-1.88965E+00
-5.9753779E-01,-1.87988E+00
-5.9752858E-01,-1.89941E+00
-5.9751936E-01,-1.88965E+00
-5.9751014E-01,-1.87988E+00
-5.9750093E-01,-1.87988E+00
-5.9749171E-01,-1.88965E+00
-5.9748250E-01,-1.88965E+00
-5.9747328E-01,-1.86035E+00
-5.9746406E-01,-1.86035E+00
-5.9745485E-01,-1.88965E+00
-5.9744563E-01,-1.87012E+00
-5.9743642E-01,-1.87012E+00
-5.9742720E-01,-1.87988E+00
-5.9741798E-01,-1.87988E+00
-5.9740877E-01,-1.87988E+00
-5.9739955E-01,-1.88965E+00
-5.9739034E-01,-1.88965E+00
-5.9738112E-01,-1.88965E+00
-5.9737190E-01,-1.86035E+00
-5.9736269E-01,-1.86035E+00
-5.9735347E-01,-1.84082E+00
-5.9734426E-01,-1.88965E+00
-5.9733504E-01,-1.87988E+00
-5.9732582E-01,-1.87012E+00
-5.9731661E-01,-1.86035E+00
-5.9730739E-01,-1.88965E+00
-5.9729818E-01,-1.87988E+00
-5.9728896E-01,-1.87012E+00
-5.9727974E-01,-1.88965E+00
-5.9727053E-01,-1.87012E+00
-5.9726131E-01,-1.87988E+00
-5.9725210E-01,-1.86035E+00
-5.9724288E-01,-1.88965E+00
-5.9723366E-01,-1.87012E+00
-5.9722445E-01,-1.86035E+00
-5.9721523E-01,-1.88965E+00
-5.9720602E-01,-1.86035E+00
-5.9719680E-01,-1.87012E+00
-5.9718758E-01,-1.87988E+00
-5.9717837E-01,-1.86035E+00
-5.9716915E-01,-1.87012E+00
-5.9715994E-01,-1.87988E+00
