in s,C1 in V
-6.1690404E+00,2.04102E+00
-6.1689480E+00,1.92383E+00
-6.1688556E+00,1.94336E+00
-6.1687632E+00,1.88477E+00
-6.1686708E+00,1.90430E+00
-6.1685784E+00,1.90430E+00
-6.1684860E+00,1.90430E+00
-6.1683936E+00,1.92383E+00
-6.1683012E+00,1.98242E+00
-6.1682088E+00,1.92383E+00
-6.1681164E+00,1.92383E+00
-6.1680240E+00,1.94336E+00
-6.1679316E+00,1.92383E+00
-6.1678392E+00,2.00195E+00
-6.1677468E+00,1.94336E+00
-6.1676544E+00,1.96289E+00
-6.1675620E+00,2.02148E+00
-6.1674696E+00,1.94336E+00
-6.1673772E+00,1.94336E+00
-6.1672848E+00,1.94336E+00
-6.1671924E+00,1.92383E+00
-6.1671000E+00,1.92383E+00
-6.1670076E+00,1.88477E+00
-6.1669152E+00,1.94336E+00
-6.1668228E+00,1.88477E+00
-6.1667304E+00,1.94336E+00
-6.1666380E+00,2.00195E+00
-6.1665456E+00,1.92383E+00
-6.1664532E+00,1.94336E+00
-6.1663608E+00,2.00195E+00
-6.1662684E+00,1.94336E+00
-6.1661760E+00,1.94336E+00
-6.1660836E+00,2.00195E+00
-6.1659912E+00,2.06055E+00
-6.1658988E+00,1.96289E+00
-6.1658064E+00,1.98242E+00
-6.1657140E+00,1.96289E+00
-6.1656216E+00,1.94336E+00
-6.1655292E+00,1.98242E+00
-6.1654368E+00,1.90430E+00
-6.1653444E+00,1.94336E+00
-6.1652520E+00,2.06055E+00
-6.1651596E+00,1.96289E+00
-6.1650672E+00,1.92383E+00
-6.1649748E+00,1.90430E+00
-6.1648824E+00,1.98242E+00
-6.1647900E+00,1.94336E+00
-6.1646976E+00,1.86523E+00
-6.1646052E+00,2.04102E+00
-6.1645128E+00,2.04102E+00
-6.1644204E+00,2.00195E+00
-6.1643280E+00,1.86523E+00
-6.1642356E+00,1.96289E+00
-6.1641432E+00,1.98242E+00
-6.1640508E+00,1.94336E+00
-6.1639584E+00,1.98242E+00
-6.1638660E+00,1.94336E+00
-6.1637736E+00,1.90430E+00
-6.1636812E+00,1.92383E+00
-6.1635888E+00,1.94336E+00
-6.1634964E+00,1.92383E+00
-6.1634040E+00,1.94336E+00
-6.1633116E+00,1.94336E+00
-6.1632192E+00,2.00195E+00
-6.1631268E+00,2.02148E+00
-6.1630344E+00,1.96289E+00
-6.1629420E+00,1.94336E+00
-6.1628496E+00,1.90430E+00
-6.1627572E+00,1.92383E+00
-6.1626648E+00,1.94336E+00
-6.1625724E+00,1.98242E+00
-6.1624800E+00,1.98242E+00
-6.1623876E+00,2.00195E+00
-6.1622952E+00,1.90430E+00
-6.1622028E+00,1.92383E+00
-6.1621104E+00,1.98242E+00
-6.1620180E+00,1.96289E+00
-6.1619256E+00,1.94336E+00
-6.1618332E+00,2.00195E+00
-6.1617408E+00,1.98242E+00
-6.1616484E+00,1.86523E+00
-6.1615560E+00,1.94336E+00
-6.1614636E+00,1.94336E+00
-6.1613712E+00,2.00195E+00
-6.1612788E+00,1.94336E+00
-6.1611864E+00,2.00195E+00
-6.1610940E+00,1.96289E+00
-6.1610016E+00,2.00195E+00
-6.1609092E+00,2.00195E+00
-6.1608168E+00,1.94336E+00
-6.1607244E+00,1.98242E+00
-6.1606320E+00,1.94336E+00
-6.1605396E+00,1.94336E+00
-6.1604472E+00,1.98242E+00
-6.1603548E+00,1.92383E+00
-6.1602624E+00,1.94336E+00
-6.1601700E+00,1.98242E+00
-6.1600776E+00,1.90430E+00
-6.1599852E+00,1.96289E+00
-6.1598928E+00,2.04102E+00
-6.1598004E+00,1.96289E+00
-6.1597080E+00,1.88477E+00
-6.1596156E+00,1.92383E+00
-6.1595232E+00,1.94336E+00
-6.1594308E+00,1.86523E+00
-6.1593384E+00,1.94336E+00
-6.1592460E+00,1.96289E+00
-6.1591536E+00,1.98242E+00
