in s,C1 in V
-1.3931424E+00,-6.74805E+00
-1.3931239E+00,-6.70898E+00
-1.3931054E+00,-6.68945E+00
-1.3930870E+00,-6.65039E+00
-1.3930685E+00,-6.72852E+00
-1.3930500E+00,-6.72852E+00
-1.3930315E+00,-6.74805E+00
-1.3930130E+00,-6.78711E+00
-1.3929946E+00,-6.78711E+00
-1.3929761E+00,-6.72852E+00
-1.3929576E+00,-6.72852E+00
-1.3929391E+00,-6.78711E+00
-1.3929206E+00,-6.82617E+00
-1.3929022E+00,-6.76758E+00
-1.3928837E+00,-6.80664E+00
-1.3928652E+00,-6.82617E+00
-1.3928467E+00,-6.74805E+00
-1.3928282E+00,-6.80664E+00
-1.3928098E+00,-6.78711E+00
-1.3927913E+00,-6.68945E+00
-1.3927728E+00,-6.84570E+00
-1.3927543E+00,-6.72852E+00
-1.3927358E+00,-6.78711E+00
-1.3927174E+00,-6.80664E+00
-1.3926989E+00,-6.82617E+00
-1.3926804E+00,-6.84570E+00
-1.3926619E+00,-6.78711E+00
-1.3926434E+00,-6.84570E+00
-1.3926250E+00,-6.90430E+00
-1.3926065E+00,-6.92383E+00
-1.3925880E+00,-6.84570E+00
-1.3925695E+00,-6.90430E+00
-1.3925510E+00,-6.88477E+00
-1.3925326E+00,-6.92383E+00
-1.3925141E+00,-6.86523E+00
-1.3924956E+00,-6.90430E+00
-1.3924771E+00,-6.84570E+00
-1.3924586E+00,-6.84570E+00
-1.3924402E+00,-6.88477E+00
-1.3924217E+00,-6.90430E+00
-1.3924032E+00,-6.80664E+00
-1.3923847E+00,-6.90430E+00
-1.3923662E+00,-6.84570E+00
-1.3923478E+00,-6.86523E+00
-1.3923293E+00,-6.80664E+00
-1.3923108E+00,-6.84570E+00
-1.3922923E+00,-6.90430E+00
-1.3922738E+00,-6.94336E+00
-1.3922554E+00,-6.88477E+00
-1.3922369E+00,-6.94336E+00
-1.3922184E+00,-6.82617E+00
-1.3921999E+00,-6.86523E+00
-1.3921814E+00,-6.86523E+00
-1.3921630E+00,-6.92383E+00
-1.3921445E+00,-6.80664E+00
-1.3921260E+00,-6.94336E+00
-1.3921075E+00,-6.80664E+00
-1.3920890E+00,-6.88477E+00
-1.3920706E+00,-6.82617E+00
-1.3920521E+00,-6.74805E+00
-1.3920336E+00,-6.80664E+00
-1.3920151E+00,-6.86523E+00
-1.3919966E+00,-6.80664E+00
-1.3919782E+00,-6.84570E+00
-1.3919597E+00,-6.84570E+00
-1.3919412E+00,-6.86523E+00
-1.3919227E+00,-6.66992E+00
-1.3919042E+00,-6.86523E+00
-1.3918858E+00,-6.80664E+00
-1.3918673E+00,-6.82617E+00
-1.3918488E+00,-6.80664E+00
-1.3918303E+00,-6.68945E+00
-1.3918118E+00,-6.76758E+00
-1.3917934E+00,-6.68945E+00
-1.3917749E+00,-6.72852E+00
-1.3917564E+00,-6.70898E+00
-1.3917379E+00,-6.70898E+00
-1.3917194E+00,-6.72852E+00
-1.3917010E+00,-6.74805E+00
-1.3916825E+00,-6.78711E+00
-1.3916640E+00,-6.74805E+00
-1.3916455E+00,-6.80664E+00
-1.3916270E+00,-6.82617E+00
-1.3916086E+00,-6.76758E+00
-1.3915901E+00,-6.72852E+00
-1.3915716E+00,-6.70898E+00
-1.3915531E+00,-6.76758E+00
-1.3915346E+00,-6.76758E+00
-1.3915162E+00,-6.74805E+00
-1.3914977E+00,-6.70898E+00
-1.3914792E+00,-6.72852E+00
-1.3914607E+00,-6.82617E+00
-1.3914422E+00,-6.72852E+00
-1.3914238E+00,-6.72852E+00
-1.3914053E+00,-6.59180E+00
-1.3913868E+00,-6.76758E+00
-1.3913683E+00,-6.80664E+00
-1.3913498E+00,-6.70898E+00
-1.3913314E+00,-6.72852E+00
-1.3913129E+00,-6.70898E+00
-1.3912944E+00,-6.78711E+00
-1.3912759E+00,-6.76758E+00
-1.3912574E+00,-6.70898E+00
-1.3912390E+00,-6.76758E+00
-1.3912205E+00,-6.80664E+00
-1.3912020E+00,-6.84570E+00
-1.3911835E+00,-6.72852E+00
-1.3911650E+00,-6.80664E+00
-1.3911466E+00,-6.84570E+00
-1.3911281E+00,-6.76758E+00
-1.3911096E+00,-6.72852E+00
-1.3910911E+00,-6.76758E+00
-1.3910726E+00,-6.86523E+00
-1.3910542E+00,-6.78711E+00
-1.3910357E+00,-6.70898E+00
-1.3910172E+00,-6.78711E+00
-1.3909987E+00,-6.76758E+00
-1.3909802E+00,-6.76758E+00
-1.3909618E+00,-6.80664E+00
-1.3909433E+00,-6.78711E+00
-1.3909248E+00,-6.84570E+00
-1.3909063E+00,-6.78711E+00
-1.3908878E+00,-6.74805E+00
-1.3908694E+00,-6.82617E+00
-1.3908509E+00,-6.68945E+00
-1.3908324E+00,-6.84570E+00
-1.3908139E+00,-6.82617E+00
-1.3907954E+00,-6.72852E+00
-1.3907770E+00,-6.78711E+00
-1.3907585E+00,-6.78711E+00
-1.3907400E+00,-6.78711E+00
-1.3907215E+00,-6.78711E+00
-1.3907030E+00,-6.72852E+00
-1.3906846E+00,-6.74805E+00
-1.3906661E+00,-6.80664E+00
-1.3906476E+00,-6.80664E+00
-1.3906291E+00,-6.78711E+00
-1.3906106E+00,-6.94336E+00
