in s,C1 in V
-1.3950889E+00,8.22754E+00
-1.3950706E+00,8.22754E+00
-1.3950522E+00,8.42285E+00
-1.3950338E+00,8.37402E+00
-1.3950155E+00,8.42285E+00
-1.3949971E+00,8.32520E+00
-1.3949788E+00,8.52051E+00
-1.3949604E+00,8.42285E+00
-1.3949420E+00,8.32520E+00
-1.3949237E+00,8.22754E+00
-1.3949053E+00,8.32520E+00
-1.3948870E+00,8.37402E+00
-1.3948686E+00,8.56934E+00
-1.3948502E+00,8.22754E+00
-1.3948319E+00,8.37402E+00
-1.3948135E+00,8.37402E+00
-1.3947952E+00,8.52051E+00
-1.3947768E+00,8.32520E+00
-1.3947584E+00,8.42285E+00
-1.3947401E+00,8.37402E+00
-1.3947217E+00,8.27637E+00
-1.3947034E+00,8.37402E+00
-1.3946850E+00,8.37402E+00
-1.3946666E+00,8.47168E+00
-1.3946483E+00,8.27637E+00
-1.3946299E+00,8.12988E+00
-1.3946116E+00,8.37402E+00
-1.3945932E+00,8.32520E+00
-1.3945748E+00,8.37402E+00
-1.3945565E+00,8.22754E+00
-1.3945381E+00,8.32520E+00
-1.3945198E+00,8.42285E+00
-1.3945014E+00,8.37402E+00
-1.3944830E+00,8.32520E+00
-1.3944647E+00,8.42285E+00
-1.3944463E+00,8.42285E+00
-1.3944280E+00,8.37402E+00
-1.3944096E+00,8.17871E+00
-1.3943912E+00,8.37402E+00
-1.3943729E+00,8.37402E+00
-1.3943545E+00,8.37402E+00
-1.3943362E+00,8.17871E+00
-1.3943178E+00,8.37402E+00
-1.3942994E+00,8.56934E+00
-1.3942811E+00,8.37402E+00
-1.3942627E+00,8.22754E+00
-1.3942444E+00,8.22754E+00
-1.3942260E+00,8.37402E+00
-1.3942076E+00,8.42285E+00
-1.3941893E+00,8.22754E+00
-1.3941709E+00,8.47168E+00
-1.3941526E+00,8.32520E+00
-1.3941342E+00,8.32520E+00
-1.3941158E+00,8.22754E+00
-1.3940975E+00,8.37402E+00
-1.3940791E+00,8.32520E+00
-1.3940608E+00,8.32520E+00
-1.3940424E+00,8.37402E+00
-1.3940240E+00,8.17871E+00
-1.3940057E+00,8.32520E+00
-1.3939873E+00,8.17871E+00
-1.3939690E+00,8.17871E+00
-1.3939506E+00,8.27637E+00
-1.3939322E+00,8.32520E+00
-1.3939139E+00,8.22754E+00
-1.3938955E+00,8.22754E+00
-1.3938772E+00,8.22754E+00
-1.3938588E+00,8.32520E+00
-1.3938404E+00,8.22754E+00
-1.3938221E+00,8.27637E+00
-1.3938037E+00,8.22754E+00
-1.3937854E+00,8.27637E+00
-1.3937670E+00,8.37402E+00
-1.3937486E+00,8.22754E+00
-1.3937303E+00,8.22754E+00
-1.3937119E+00,8.22754E+00
-1.3936936E+00,8.32520E+00
-1.3936752E+00,8.22754E+00
-1.3936568E+00,8.42285E+00
-1.3936385E+00,8.27637E+00
-1.3936201E+00,8.37402E+00
-1.3936018E+00,8.22754E+00
-1.3935834E+00,8.22754E+00
-1.3935650E+00,8.27637E+00
-1.3935467E+00,8.32520E+00
-1.3935283E+00,8.27637E+00
-1.3935100E+00,8.22754E+00
-1.3934916E+00,8.08105E+00
-1.3934732E+00,8.08105E+00
-1.3934549E+00,8.17871E+00
-1.3934365E+00,8.17871E+00
-1.3934182E+00,8.42285E+00
-1.3933998E+00,8.42285E+00
-1.3933814E+00,8.12988E+00
-1.3933631E+00,8.27637E+00
-1.3933447E+00,8.27637E+00
-1.3933264E+00,8.22754E+00
-1.3933080E+00,8.08105E+00
-1.3932896E+00,8.22754E+00
-1.3932713E+00,8.22754E+00
-1.3932529E+00,8.17871E+00
-1.3932346E+00,8.17871E+00
-1.3932162E+00,8.22754E+00
-1.3931978E+00,8.12988E+00
-1.3931795E+00,8.08105E+00
-1.3931611E+00,8.17871E+00
-1.3931428E+00,8.22754E+00
-1.3931244E+00,8.27637E+00
-1.3931060E+00,8.17871E+00
-1.3930877E+00,8.12988E+00
-1.3930693E+00,8.22754E+00
-1.3930510E+00,8.12988E+00
-1.3930326E+00,8.22754E+00
-1.3930142E+00,8.22754E+00
-1.3929959E+00,8.32520E+00
-1.3929775E+00,8.22754E+00
-1.3929592E+00,8.32520E+00
-1.3929408E+00,8.12988E+00
-1.3929224E+00,8.42285E+00
-1.3929041E+00,8.32520E+00
-1.3928857E+00,8.22754E+00
-1.3928674E+00,8.22754E+00
-1.3928490E+00,8.22754E+00
-1.3928306E+00,8.22754E+00
-1.3928123E+00,8.17871E+00
-1.3927939E+00,7.93457E+00
-1.3927756E+00,8.17871E+00
-1.3927572E+00,8.17871E+00
-1.3927388E+00,8.27637E+00
-1.3927205E+00,8.08105E+00
-1.3927021E+00,8.32520E+00
-1.3926838E+00,8.17871E+00
-1.3926654E+00,8.27637E+00
-1.3926470E+00,8.22754E+00
-1.3926287E+00,8.17871E+00
-1.3926103E+00,8.32520E+00
-1.3925920E+00,8.37402E+00
-1.3925736E+00,8.22754E+00
-1.3925552E+00,8.37402E+00
-1.3925369E+00,8.03223E+00
-1.3925185E+00,8.22754E+00
-1.3925002E+00,8.27637E+00
-1.3924818E+00,8.42285E+00
-1.3924634E+00,8.27637E+00
-1.3924451E+00,8.17871E+00
-1.3924267E+00,8.12988E+00
-1.3924084E+00,8.37402E+00
-1.3923900E+00,8.37402E+00
-1.3923716E+00,8.22754E+00
-1.3923533E+00,8.22754E+00
-1.3923349E+00,8.27637E+00
-1.3923166E+00,8.32520E+00
-1.3922982E+00,8.37402E+00
-1.3922798E+00,8.22754E+00
-1.3922615E+00,8.27637E+00
-1.3922431E+00,8.42285E+00
-1.3922248E+00,8.37402E+00
-1.3922064E+00,8.12988E+00
-1.3921880E+00,8.27637E+00
-1.3921697E+00,8.27637E+00
-1.3921513E+00,8.08105E+00
-1.3921330E+00,8.32520E+00
-1.3921146E+00,8.27637E+00
-1.3920962E+00,8.22754E+00
-1.3920779E+00,8.17871E+00
-1.3920595E+00,8.03223E+00
-1.3920412E+00,8.22754E+00
-1.3920228E+00,8.12988E+00
-1.3920044E+00,8.17871E+00
-1.3919861E+00,8.03223E+00
-1.3919677E+00,8.32520E+00
-1.3919494E+00,8.22754E+00
-1.3919310E+00,8.32520E+00
-1.3919126E+00,8.37402E+00
-1.3918943E+00,8.12988E+00
-1.3918759E+00,8.37402E+00
-1.3918576E+00,8.17871E+00
-1.3918392E+00,8.22754E+00
-1.3918208E+00,8.08105E+00
-1.3918025E+00,8.17871E+00
-1.3917841E+00,8.17871E+00
-1.3917658E+00,8.12988E+00
-1.3917474E+00,8.12988E+00
-1.3917290E+00,8.12988E+00
-1.3917107E+00,8.12988E+00
-1.3916923E+00,8.32520E+00
-1.3916740E+00,8.22754E+00
-1.3916556E+00,8.32520E+00
-1.3916372E+00,8.12988E+00
-1.3916189E+00,8.32520E+00
-1.3916005E+00,8.27637E+00
-1.3915822E+00,8.27637E+00
-1.3915638E+00,8.37402E+00
-1.3915454E+00,8.22754E+00
-1.3915271E+00,8.27637E+00
-1.3915087E+00,8.32520E+00
-1.3914904E+00,8.17871E+00
-1.3914720E+00,8.22754E+00
-1.3914536E+00,8.22754E+00
-1.3914353E+00,8.17871E+00
-1.3914169E+00,8.12988E+00
-1.3913986E+00,8.12988E+00
-1.3913802E+00,8.22754E+00
-1.3913618E+00,8.08105E+00
-1.3913435E+00,8.12988E+00
-1.3913251E+00,8.22754E+00
-1.3913068E+00,8.32520E+00
-1.3912884E+00,8.27637E+00
-1.3912700E+00,8.17871E+00
-1.3912517E+00,8.12988E+00
-1.3912333E+00,8.27637E+00
-1.3912150E+00,8.27637E+00
-1.3911966E+00,8.37402E+00
-1.3911782E+00,8.22754E+00
-1.3911599E+00,8.22754E+00
-1.3911415E+00,8.27637E+00
-1.3911232E+00,8.08105E+00
-1.3911048E+00,8.17871E+00
-1.3910864E+00,8.12988E+00
-1.3910681E+00,8.22754E+00
-1.3910497E+00,8.37402E+00
-1.3910314E+00,8.12988E+00
-1.3910130E+00,8.22754E+00
-1.3909946E+00,8.22754E+00
-1.3909763E+00,8.08105E+00
-1.3909579E+00,8.22754E+00
-1.3909396E+00,8.27637E+00
-1.3909212E+00,8.27637E+00
-1.3909028E+00,8.17871E+00
-1.3908845E+00,8.12988E+00
-1.3908661E+00,8.27637E+00
-1.3908478E+00,8.42285E+00
-1.3908294E+00,8.22754E+00
-1.3908110E+00,8.08105E+00
-1.3907927E+00,8.27637E+00
-1.3907743E+00,8.17871E+00
-1.3907560E+00,8.27637E+00
-1.3907376E+00,8.03223E+00
-1.3907192E+00,8.17871E+00
-1.3907009E+00,8.22754E+00
-1.3906825E+00,8.22754E+00
-1.3906642E+00,8.22754E+00
-1.3906458E+00,8.27637E+00
-1.3906274E+00,8.22754E+00
-1.3906091E+00,8.22754E+00
-1.3905907E+00,8.17871E+00
-1.3905724E+00,8.27637E+00
-1.3905540E+00,8.27637E+00
-1.3905356E+00,8.22754E+00
-1.3905173E+00,8.03223E+00
-1.3904989E+00,8.17871E+00
-1.3904806E+00,8.27637E+00
-1.3904622E+00,8.08105E+00
-1.3904438E+00,8.22754E+00
-1.3904255E+00,8.22754E+00
-1.3904071E+00,8.22754E+00
-1.3903888E+00,8.22754E+00
-1.3903704E+00,8.22754E+00
-1.3903520E+00,8.37402E+00
-1.3903337E+00,8.12988E+00
-1.3903153E+00,8.22754E+00
-1.3902970E+00,8.17871E+00
-1.3902786E+00,8.08105E+00
-1.3902602E+00,8.32520E+00
-1.3902419E+00,8.37402E+00
-1.3902235E+00,8.17871E+00
-1.3902052E+00,8.27637E+00
-1.3901868E+00,8.32520E+00
-1.3901684E+00,8.17871E+00
-1.3901501E+00,8.17871E+00
-1.3901317E+00,8.27637E+00
-1.3901134E+00,8.32520E+00
-1.3900950E+00,8.03223E+00
-1.3900766E+00,8.03223E+00
-1.3900583E+00,8.37402E+00
-1.3900399E+00,8.32520E+00
-1.3900216E+00,8.22754E+00
-1.3900032E+00,8.22754E+00
-1.3899848E+00,8.17871E+00
-1.3899665E+00,8.27637E+00
-1.3899481E+00,8.08105E+00
-1.3899298E+00,8.17871E+00
-1.3899114E+00,8.17871E+00
-1.3898930E+00,8.17871E+00
-1.3898747E+00,8.22754E+00
-1.3898563E+00,8.17871E+00
-1.3898380E+00,8.22754E+00
-1.3898196E+00,8.27637E+00
-1.3898012E+00,8.08105E+00
-1.3897829E+00,8.12988E+00
-1.3897645E+00,8.32520E+00
-1.3897462E+00,8.22754E+00
-1.3897278E+00,8.12988E+00
-1.3897094E+00,8.08105E+00
-1.3896911E+00,8.22754E+00
-1.3896727E+00,8.08105E+00
-1.3896544E+00,8.08105E+00
-1.3896360E+00,8.17871E+00
-1.3896176E+00,8.22754E+00
-1.3895993E+00,8.03223E+00
-1.3895809E+00,8.22754E+00
-1.3895626E+00,8.12988E+00
-1.3895442E+00,8.12988E+00
-1.3895258E+00,8.12988E+00
-1.3895075E+00,8.08105E+00
-1.3894891E+00,7.98340E+00
-1.3894708E+00,8.27637E+00
-1.3894524E+00,8.27637E+00
-1.3894340E+00,8.22754E+00
-1.3894157E+00,8.22754E+00
-1.3893973E+00,8.27637E+00
-1.3893790E+00,8.22754E+00
-1.3893606E+00,8.17871E+00
-1.3893422E+00,8.03223E+00
-1.3893239E+00,8.08105E+00
-1.3893055E+00,8.22754E+00
-1.3892872E+00,8.08105E+00
-1.3892688E+00,8.17871E+00
-1.3892504E+00,8.22754E+00
-1.3892321E+00,8.42285E+00
-1.3892137E+00,8.22754E+00
-1.3891954E+00,8.22754E+00
-1.3891770E+00,8.12988E+00
-1.3891586E+00,8.27637E+00
-1.3891403E+00,8.08105E+00
-1.3891219E+00,8.22754E+00
-1.3891036E+00,8.22754E+00
-1.3890852E+00,8.22754E+00
-1.3890668E+00,8.12988E+00
-1.3890485E+00,8.17871E+00
-1.3890301E+00,8.08105E+00
-1.3890118E+00,8.12988E+00
-1.3889934E+00,8.17871E+00
-1.3889750E+00,8.03223E+00
-1.3889567E+00,8.17871E+00
-1.3889383E+00,8.22754E+00
-1.3889200E+00,8.03223E+00
-1.3889016E+00,7.93457E+00
-1.3888832E+00,8.22754E+00
-1.3888649E+00,8.22754E+00
-1.3888465E+00,8.17871E+00
-1.3888282E+00,7.88574E+00
-1.3888098E+00,8.22754E+00
-1.3887914E+00,7.93457E+00
-1.3887731E+00,8.22754E+00
-1.3887547E+00,8.12988E+00
-1.3887364E+00,8.08105E+00
-1.3887180E+00,8.22754E+00
-1.3886996E+00,8.03223E+00
-1.3886813E+00,7.88574E+00
-1.3886629E+00,8.08105E+00
-1.3886446E+00,8.27637E+00
-1.3886262E+00,8.22754E+00
-1.3886078E+00,8.08105E+00
-1.3885895E+00,8.22754E+00
-1.3885711E+00,7.98340E+00
-1.3885528E+00,8.08105E+00
-1.3885344E+00,8.03223E+00
-1.3885160E+00,8.03223E+00
-1.3884977E+00,8.12988E+00
-1.3884793E+00,8.03223E+00
-1.3884610E+00,8.03223E+00
-1.3884426E+00,8.22754E+00
-1.3884242E+00,8.22754E+00
-1.3884059E+00,8.12988E+00
-1.3883875E+00,7.98340E+00
-1.3883692E+00,8.22754E+00
-1.3883508E+00,8.22754E+00
-1.3883324E+00,8.22754E+00
-1.3883141E+00,8.03223E+00
-1.3882957E+00,8.27637E+00
-1.3882774E+00,8.22754E+00
-1.3882590E+00,8.17871E+00
-1.3882406E+00,7.93457E+00
-1.3882223E+00,8.22754E+00
-1.3882039E+00,8.12988E+00
-1.3881856E+00,8.03223E+00
-1.3881672E+00,8.17871E+00
-1.3881488E+00,8.22754E+00
-1.3881305E+00,8.12988E+00
-1.3881121E+00,8.12988E+00
-1.3880938E+00,7.98340E+00
-1.3880754E+00,7.98340E+00
-1.3880570E+00,8.03223E+00
-1.3880387E+00,8.22754E+00
-1.3880203E+00,8.08105E+00
-1.3880020E+00,8.27637E+00
-1.3879836E+00,8.22754E+00
-1.3879652E+00,8.12988E+00
-1.3879469E+00,8.03223E+00
-1.3879285E+00,8.08105E+00
-1.3879102E+00,8.32520E+00
-1.3878918E+00,8.08105E+00
-1.3878734E+00,7.98340E+00
-1.3878551E+00,8.03223E+00
-1.3878367E+00,7.93457E+00
-1.3878184E+00,8.03223E+00
-1.3878000E+00,8.03223E+00
-1.3877816E+00,8.12988E+00
-1.3877633E+00,8.22754E+00
-1.3877449E+00,8.12988E+00
-1.3877266E+00,7.93457E+00
-1.3877082E+00,8.08105E+00
-1.3876898E+00,8.17871E+00
-1.3876715E+00,8.12988E+00
-1.3876531E+00,7.98340E+00
-1.3876348E+00,8.12988E+00
-1.3876164E+00,8.17871E+00
-1.3875980E+00,8.03223E+00
-1.3875797E+00,8.08105E+00
-1.3875613E+00,8.22754E+00
-1.3875430E+00,8.03223E+00
-1.3875246E+00,8.03223E+00
-1.3875062E+00,8.12988E+00
-1.3874879E+00,8.22754E+00
-1.3874695E+00,8.27637E+00
-1.3874512E+00,8.03223E+00
-1.3874328E+00,8.03223E+00
-1.3874144E+00,8.08105E+00
-1.3873961E+00,8.03223E+00
-1.3873777E+00,8.17871E+00
-1.3873594E+00,8.03223E+00
-1.3873410E+00,8.08105E+00
-1.3873226E+00,8.12988E+00
-1.3873043E+00,8.08105E+00
-1.3872859E+00,8.17871E+00
-1.3872676E+00,8.17871E+00
-1.3872492E+00,8.03223E+00
-1.3872308E+00,8.17871E+00
-1.3872125E+00,7.98340E+00
-1.3871941E+00,8.22754E+00
-1.3871758E+00,8.08105E+00
-1.3871574E+00,8.08105E+00
-1.3871390E+00,8.08105E+00
-1.3871207E+00,8.22754E+00
-1.3871023E+00,8.12988E+00
-1.3870840E+00,8.22754E+00
-1.3870656E+00,8.03223E+00
-1.3870472E+00,8.17871E+00
-1.3870289E+00,7.93457E+00
-1.3870105E+00,8.12988E+00
-1.3869922E+00,8.08105E+00
-1.3869738E+00,8.08105E+00
-1.3869554E+00,8.03223E+00
-1.3869371E+00,8.08105E+00
-1.3869187E+00,8.08105E+00
-1.3869004E+00,8.17871E+00
-1.3868820E+00,8.22754E+00
-1.3868636E+00,8.08105E+00
-1.3868453E+00,8.03223E+00
-1.3868269E+00,7.93457E+00
-1.3868086E+00,8.12988E+00
-1.3867902E+00,7.98340E+00
-1.3867718E+00,7.98340E+00
-1.3867535E+00,8.22754E+00
-1.3867351E+00,7.93457E+00
-1.3867168E+00,8.03223E+00
-1.3866984E+00,8.12988E+00
-1.3866800E+00,8.17871E+00
-1.3866617E+00,7.93457E+00
-1.3866433E+00,8.22754E+00
-1.3866250E+00,8.12988E+00
-1.3866066E+00,8.22754E+00
-1.3865882E+00,8.17871E+00
-1.3865699E+00,8.03223E+00
-1.3865515E+00,8.03223E+00
-1.3865332E+00,7.98340E+00
-1.3865148E+00,8.03223E+00
-1.3864964E+00,8.03223E+00
-1.3864781E+00,8.17871E+00
-1.3864597E+00,8.08105E+00
-1.3864414E+00,7.98340E+00
-1.3864230E+00,8.03223E+00
-1.3864046E+00,7.98340E+00
-1.3863863E+00,8.08105E+00
-1.3863679E+00,7.98340E+00
-1.3863496E+00,8.08105E+00
-1.3863312E+00,8.03223E+00
-1.3863128E+00,8.17871E+00
-1.3862945E+00,8.12988E+00
-1.3862761E+00,8.03223E+00
-1.3862578E+00,8.03223E+00
-1.3862394E+00,8.08105E+00
-1.3862210E+00,8.03223E+00
-1.3862027E+00,8.03223E+00
-1.3861843E+00,7.93457E+00
-1.3861660E+00,8.08105E+00
-1.3861476E+00,7.98340E+00
-1.3861292E+00,7.93457E+00
-1.3861109E+00,8.03223E+00
-1.3860925E+00,8.08105E+00
-1.3860742E+00,8.12988E+00
-1.3860558E+00,7.93457E+00
-1.3860374E+00,7.98340E+00
-1.3860191E+00,8.03223E+00
-1.3860007E+00,8.03223E+00
-1.3859824E+00,8.17871E+00
-1.3859640E+00,7.98340E+00
-1.3859456E+00,8.03223E+00
-1.3859273E+00,8.22754E+00
-1.3859089E+00,8.08105E+00
-1.3858906E+00,7.98340E+00
-1.3858722E+00,8.03223E+00
-1.3858538E+00,8.22754E+00
-1.3858355E+00,8.12988E+00
-1.3858171E+00,7.88574E+00
-1.3857988E+00,8.22754E+00
-1.3857804E+00,8.08105E+00
-1.3857620E+00,8.17871E+00
-1.3857437E+00,7.88574E+00
-1.3857253E+00,8.08105E+00
-1.3857070E+00,8.03223E+00
